Record Creation Date,Join Date,Frequent Flier Number,First Name,Last Name,Inquiry Type,Most Recent Flight #,Lounge Used?,Departing Airport,Arrival Airport,Planned Snack?,Additional Snack?,# of Included Checked Bags,Total # of Checked Bags,Flight Delayed?
2024-01-05,2009-02-23,5259235142,Richard,Munoz,New Flight,E58601983,TRUE,DFW,BOS,FALSE,TRUE,2,3,FALSE
2021-08-12,2009-02-23,5259235142,Richard,Munoz,Flight Status,L84281320,FALSE,ATL,SFO,FALSE,TRUE,1,10,FALSE
2024-08-25,2009-02-23,5259235142,Richard,Munoz,Cancel Flight,J93214307,TRUE,LHR,DFW,FALSE,FALSE,3,9,FALSE
2022-11-21,2009-02-23,5259235142,Richard,Munoz,Flight Status,L42517739,TRUE,JFK,ORD,FALSE,TRUE,3,8,TRUE
2021-11-06,2009-02-23,5259235142,Richard,Munoz,Flight Deal,O53230530,TRUE,SEA,DEN,FALSE,FALSE,1,6,TRUE
2022-01-10,2009-02-23,5259235142,Richard,Munoz,Flight Status,Q58855294,TRUE,JFK,CDG,FALSE,TRUE,3,6,TRUE
2024-06-12,2016-07-18,1631888987,Jennifer,Miller,New Flight,L17701292,TRUE,HND,ATL,FALSE,TRUE,3,5,FALSE
2024-07-07,2016-07-18,1631888987,Jennifer,Miller,Flight Status,R24574060,FALSE,SEA,DXB,TRUE,FALSE,1,9,FALSE
2021-06-12,2016-07-18,1631888987,Jennifer,Miller,New Flight,O20379952,FALSE,HND,SEA,FALSE,TRUE,3,6,TRUE
2024-08-10,2016-07-18,1631888987,Jennifer,Miller,Flight Deal,Q69217831,FALSE,ORD,JFK,FALSE,FALSE,2,6,TRUE
2024-03-24,2016-07-18,1631888987,Jennifer,Miller,Flight Status,O40343660,TRUE,DEN,SFO,TRUE,TRUE,4,8,TRUE
2024-09-08,2006-08-16,4892826664,Meredith,Dunn,Flight Status,H35015800,TRUE,SFO,JFK,FALSE,TRUE,1,10,TRUE
2022-03-25,2006-08-16,4892826664,Meredith,Dunn,Flight Status,P09187719,FALSE,SFO,ATL,TRUE,FALSE,2,10,FALSE
2022-10-27,2006-08-16,4892826664,Meredith,Dunn,Cancel Flight,U95487821,FALSE,SIN,DEN,TRUE,FALSE,1,8,TRUE
2024-03-20,1998-08-26,5688379797,Laura,Mccoy,Flight Status,Z99865994,FALSE,SEA,JFK,FALSE,FALSE,1,4,TRUE
2024-07-24,1998-08-26,5688379797,Laura,Mccoy,New Flight,T25121318,FALSE,LAX,DFW,FALSE,TRUE,1,6,TRUE
2024-06-23,1998-08-26,5688379797,Laura,Mccoy,New Flight,V90314095,TRUE,ORD,LHR,FALSE,TRUE,1,5,TRUE
2024-02-03,1998-08-26,5688379797,Laura,Mccoy,New Flight,X55734963,FALSE,SIN,ATL,TRUE,TRUE,3,9,TRUE
2024-06-07,1998-08-26,5688379797,Laura,Mccoy,Flight Status,Y17645697,FALSE,LHR,DEN,FALSE,TRUE,3,4,FALSE
2022-07-07,1992-05-15,720393375,Sandra,Harper,Flight Status,K38990125,FALSE,ORD,MIA,TRUE,TRUE,4,5,FALSE
2023-04-16,1992-05-15,720393375,Sandra,Harper,Cancel Flight,B31735941,FALSE,ORD,MIA,FALSE,FALSE,3,8,FALSE
2022-04-08,1992-05-15,720393375,Sandra,Harper,New Flight,H36792964,TRUE,SIN,SIN,FALSE,FALSE,2,7,FALSE
2023-09-11,1998-05-28,10806849,Manuel,Morales,New Flight,V54669925,FALSE,BOS,MIA,FALSE,FALSE,4,9,TRUE
2021-08-07,1998-05-28,10806849,Manuel,Morales,Flight Status,A69683768,FALSE,BOS,MIA,FALSE,TRUE,2,7,TRUE
2021-09-19,1998-05-28,10806849,Manuel,Morales,Flight Deal,F25928056,FALSE,LAX,JFK,FALSE,TRUE,2,4,TRUE
2021-11-25,2019-06-28,5930073768,Sarah,Tran,Flight Deal,U32540313,TRUE,DEN,ATL,FALSE,TRUE,1,7,TRUE
2023-10-18,2019-06-28,5930073768,Sarah,Tran,Cancel Flight,X81794050,TRUE,LAX,LAX,TRUE,FALSE,4,8,FALSE
2021-09-19,2019-06-28,5930073768,Sarah,Tran,Flight Status,R68716705,FALSE,DXB,ORD,TRUE,FALSE,4,7,FALSE
2022-11-02,2019-06-28,5930073768,Sarah,Tran,Flight Deal,K08441419,TRUE,ATL,ORD,FALSE,TRUE,1,4,TRUE
2023-11-16,2019-06-28,5930073768,Sarah,Tran,New Flight,P34731536,FALSE,JFK,DXB,TRUE,TRUE,4,7,TRUE
2022-09-03,2005-10-31,5101312032,Angel,Moore,Cancel Flight,C24489016,FALSE,LAX,ORD,TRUE,TRUE,3,6,TRUE
2021-10-10,2005-10-31,5101312032,Angel,Moore,Cancel Flight,M23687765,FALSE,SEA,DEN,TRUE,TRUE,2,5,FALSE
2024-04-24,2005-10-31,5101312032,Angel,Moore,New Flight,A62150307,FALSE,DXB,LAX,TRUE,FALSE,1,5,TRUE
2024-06-22,2005-10-31,5101312032,Angel,Moore,Flight Status,X76417067,FALSE,LAX,ORD,TRUE,TRUE,2,5,TRUE
2022-10-11,2005-10-31,5101312032,Angel,Moore,New Flight,D63145504,TRUE,DEN,BOS,TRUE,TRUE,4,5,TRUE
2021-01-12,2009-02-20,6049318919,Samantha,Mcintyre,Flight Deal,G75468959,FALSE,BOS,MIA,TRUE,TRUE,1,10,FALSE
2024-09-19,2009-02-20,6049318919,Samantha,Mcintyre,New Flight,I09744293,TRUE,ATL,ORD,TRUE,FALSE,2,6,FALSE
2024-08-16,2009-02-20,6049318919,Samantha,Mcintyre,Flight Deal,M80082593,TRUE,SEA,LAX,FALSE,TRUE,4,5,FALSE
2023-09-17,2009-02-20,6049318919,Samantha,Mcintyre,Flight Deal,X45928259,TRUE,SEA,ATL,TRUE,TRUE,4,8,TRUE
2024-02-23,2009-02-20,6049318919,Samantha,Mcintyre,Flight Status,T11603624,FALSE,LAX,DFW,TRUE,FALSE,4,9,FALSE
2024-10-15,1988-05-18,638947621,Madeline,Rowe,New Flight,J03173619,FALSE,HND,ATL,TRUE,TRUE,2,3,TRUE
2024-08-13,1988-05-18,638947621,Madeline,Rowe,New Flight,E20805231,FALSE,HND,DFW,TRUE,FALSE,1,6,FALSE
2021-07-13,1988-05-18,638947621,Madeline,Rowe,New Flight,F09557816,FALSE,SEA,BOS,TRUE,TRUE,2,7,FALSE
2022-11-27,1988-05-18,638947621,Madeline,Rowe,Flight Deal,T22454039,TRUE,SEA,LAX,TRUE,TRUE,1,5,FALSE
2022-08-31,1988-05-18,638947621,Madeline,Rowe,New Flight,X27641920,TRUE,MIA,ATL,FALSE,TRUE,4,9,FALSE
2021-03-05,2021-03-31,7585690923,Susan,Moore,Flight Status,K65727856,TRUE,ORD,LAX,TRUE,FALSE,4,9,TRUE
2023-03-20,2021-03-31,7585690923,Susan,Moore,Flight Deal,B67671667,FALSE,SYD,ATL,TRUE,FALSE,3,8,FALSE
2023-01-06,2021-03-31,7585690923,Susan,Moore,Flight Deal,S77348775,FALSE,SEA,ATL,FALSE,TRUE,3,7,TRUE
2021-08-07,2021-03-31,7585690923,Susan,Moore,Flight Status,B16204896,TRUE,MIA,LHR,FALSE,FALSE,1,6,TRUE
2023-12-06,2021-03-31,7585690923,Susan,Moore,Flight Deal,I84811193,TRUE,SEA,JFK,FALSE,TRUE,4,6,FALSE
2022-11-07,2017-11-18,2006254277,Ernest,Allen,Flight Deal,Q17537727,FALSE,SYD,ATL,FALSE,FALSE,3,5,FALSE
2023-05-27,2017-11-18,2006254277,Ernest,Allen,Cancel Flight,H38511376,FALSE,MIA,LAX,FALSE,FALSE,2,8,FALSE
2021-08-08,2017-11-18,2006254277,Ernest,Allen,Cancel Flight,C51749818,TRUE,SEA,SFO,TRUE,FALSE,3,6,FALSE
2022-11-19,2017-11-18,2006254277,Ernest,Allen,Flight Deal,L28350189,TRUE,ATL,LAX,FALSE,FALSE,1,7,FALSE
2023-10-07,2017-11-18,2006254277,Ernest,Allen,Cancel Flight,W84526593,FALSE,DFW,ORD,TRUE,FALSE,4,6,FALSE
2024-01-03,1997-06-22,4326823941,Richard,Jones,New Flight,O33032585,FALSE,HND,JFK,TRUE,FALSE,2,7,TRUE
2024-02-18,1997-06-22,4326823941,Richard,Jones,Flight Status,V82742603,TRUE,LAX,JFK,FALSE,TRUE,3,8,TRUE
2021-03-29,1997-06-22,4326823941,Richard,Jones,New Flight,Z71433611,TRUE,SFO,ATL,TRUE,TRUE,1,7,TRUE
2023-05-09,1997-06-22,4326823941,Richard,Jones,Flight Status,D71172376,TRUE,DFW,BOS,TRUE,FALSE,1,6,TRUE
2024-06-26,1989-12-14,8178926591,Shawn,Smith,Flight Deal,F75055107,FALSE,SFO,JFK,FALSE,FALSE,3,6,TRUE
2022-08-01,1989-12-14,8178926591,Shawn,Smith,Cancel Flight,J35411465,TRUE,BOS,ATL,FALSE,FALSE,4,9,TRUE
2021-09-12,1989-12-14,8178926591,Shawn,Smith,Cancel Flight,P31025555,FALSE,DEN,MIA,TRUE,FALSE,1,7,FALSE
2022-06-13,1989-12-14,8178926591,Shawn,Smith,Flight Status,L42850538,TRUE,BOS,JFK,FALSE,FALSE,2,4,FALSE
2022-07-31,1989-12-14,8178926591,Shawn,Smith,New Flight,K18226152,TRUE,SEA,LAX,TRUE,FALSE,4,9,TRUE
2023-06-27,1995-10-11,8337928883,Jeffery,Miller,Cancel Flight,X38082053,FALSE,SIN,ATL,TRUE,FALSE,4,8,TRUE
2024-01-31,1995-10-11,8337928883,Jeffery,Miller,Flight Status,P81196631,TRUE,BOS,HND,FALSE,FALSE,3,9,FALSE
2021-09-22,1995-10-11,8337928883,Jeffery,Miller,Cancel Flight,F93669126,TRUE,SFO,ATL,TRUE,FALSE,1,4,FALSE
2021-04-30,1995-10-11,8337928883,Jeffery,Miller,Flight Deal,Q09108262,TRUE,BOS,ORD,FALSE,TRUE,3,6,TRUE
2021-05-18,1995-10-11,8337928883,Jeffery,Miller,Flight Status,Z19801105,FALSE,SEA,SIN,TRUE,FALSE,2,8,FALSE
2022-09-28,1991-01-01,9825953990,Janet,Martinez,Cancel Flight,J09457618,TRUE,JFK,SFO,TRUE,FALSE,2,3,FALSE
2023-11-11,1991-01-01,9825953990,Janet,Martinez,Cancel Flight,B93119823,TRUE,LHR,MIA,TRUE,FALSE,2,9,TRUE
2024-09-11,1991-01-01,9825953990,Janet,Martinez,Cancel Flight,I25876824,TRUE,ORD,DFW,FALSE,TRUE,2,3,TRUE
2021-10-21,1991-01-01,9825953990,Janet,Martinez,New Flight,O68933642,FALSE,LAX,JFK,FALSE,FALSE,2,10,TRUE
2022-03-01,1997-07-15,4489829680,Sean,Morales,Cancel Flight,S03111863,FALSE,LHR,ATL,TRUE,FALSE,4,7,FALSE
2022-06-04,1997-07-15,4489829680,Sean,Morales,Cancel Flight,J09313944,FALSE,CDG,JFK,TRUE,TRUE,2,8,FALSE
2023-03-18,1997-07-15,4489829680,Sean,Morales,Cancel Flight,P32699312,TRUE,BOS,LAX,FALSE,TRUE,2,5,TRUE
2021-12-31,1997-07-15,4489829680,Sean,Morales,New Flight,F30861450,FALSE,BOS,ATL,TRUE,FALSE,3,4,FALSE
2024-05-07,1997-07-15,4489829680,Sean,Morales,Flight Status,J69263047,TRUE,LHR,JFK,FALSE,FALSE,2,5,TRUE
2023-08-06,1997-07-15,4489829680,Sean,Morales,New Flight,F99798262,FALSE,JFK,SEA,FALSE,FALSE,2,3,TRUE
2022-09-06,1997-07-15,4489829680,Sean,Morales,Flight Status,M15412930,TRUE,ORD,DFW,FALSE,FALSE,3,7,FALSE
2024-08-25,1997-07-15,4489829680,Sean,Morales,Cancel Flight,F78986074,FALSE,JFK,MIA,TRUE,FALSE,4,7,TRUE
2022-04-11,1997-07-15,4489829680,Sean,Morales,Flight Status,F65727139,FALSE,MIA,SEA,FALSE,TRUE,4,6,FALSE
2022-10-16,1997-07-15,4489829680,Sean,Morales,Cancel Flight,I81118802,FALSE,SFO,BOS,FALSE,TRUE,2,6,FALSE
2023-10-12,2006-02-01,8664900415,Kristin,Mckenzie,Flight Status,N82452268,FALSE,LAX,ORD,FALSE,FALSE,2,7,TRUE
2021-09-13,2006-02-01,8664900415,Kristin,Mckenzie,New Flight,F96768036,TRUE,MIA,DEN,FALSE,FALSE,3,9,FALSE
2023-12-27,2006-02-01,8664900415,Kristin,Mckenzie,Flight Deal,Z32171369,FALSE,BOS,HND,TRUE,FALSE,2,8,TRUE
2024-08-21,2006-02-01,8664900415,Kristin,Mckenzie,New Flight,Y05702343,FALSE,ATL,JFK,FALSE,FALSE,4,6,TRUE
2023-10-20,2006-02-01,8664900415,Kristin,Mckenzie,New Flight,Q20703754,FALSE,SFO,JFK,TRUE,FALSE,1,5,TRUE
2021-11-30,2021-12-04,9643173128,Chloe,Marshall,Cancel Flight,W87775932,TRUE,LAX,HND,FALSE,FALSE,2,7,FALSE
2021-05-02,2021-12-04,9643173128,Chloe,Marshall,New Flight,H88531426,FALSE,SIN,JFK,TRUE,FALSE,1,7,TRUE
2022-08-20,2021-12-04,9643173128,Chloe,Marshall,Flight Status,J78057561,FALSE,SEA,ORD,FALSE,FALSE,4,5,TRUE
2023-06-15,2021-12-04,9643173128,Chloe,Marshall,Cancel Flight,T50334293,TRUE,JFK,MIA,TRUE,FALSE,3,4,TRUE
2024-09-05,2010-08-17,7469667722,Ryan,Harris,Flight Deal,O95103342,TRUE,ATL,SFO,TRUE,TRUE,2,10,TRUE
2023-03-01,2010-08-17,7469667722,Ryan,Harris,Cancel Flight,E31587584,FALSE,DEN,ATL,FALSE,FALSE,3,10,FALSE
2021-08-25,2010-08-17,7469667722,Ryan,Harris,Flight Deal,H57265787,TRUE,LAX,DEN,FALSE,TRUE,3,8,FALSE
2024-01-10,2010-08-17,7469667722,Ryan,Harris,Cancel Flight,C74388679,TRUE,DFW,LAX,FALSE,TRUE,4,8,TRUE
2024-01-09,1997-11-14,8430707997,Jennifer,Kim,New Flight,G02543335,TRUE,DFW,DEN,TRUE,FALSE,2,5,TRUE
2023-02-15,1997-11-14,8430707997,Jennifer,Kim,Flight Deal,J71100735,TRUE,DFW,JFK,TRUE,TRUE,3,6,TRUE
2022-12-20,1997-11-14,8430707997,Jennifer,Kim,New Flight,T76011493,FALSE,DFW,ORD,TRUE,FALSE,4,5,FALSE
2024-03-16,1997-11-14,8430707997,Jennifer,Kim,Cancel Flight,Z35206950,TRUE,ORD,DFW,FALSE,FALSE,4,10,TRUE
2023-08-23,1997-11-14,8430707997,Jennifer,Kim,Flight Deal,T87651378,FALSE,HND,LAX,TRUE,TRUE,4,6,TRUE
2022-03-05,2005-07-09,798566447,Joseph,Brooks,Cancel Flight,Y10658674,TRUE,ATL,HND,TRUE,TRUE,3,10,TRUE
2022-02-16,2005-07-09,798566447,Joseph,Brooks,New Flight,A17249659,TRUE,ATL,ORD,FALSE,TRUE,4,5,FALSE
2024-06-04,2005-07-09,798566447,Joseph,Brooks,Cancel Flight,A27260107,FALSE,LHR,ORD,FALSE,FALSE,1,7,FALSE
2023-10-13,1997-12-02,3135719663,Jessica,Williams,New Flight,Y26533709,FALSE,LAX,HND,TRUE,FALSE,2,4,FALSE
2024-08-08,1997-12-02,3135719663,Jessica,Williams,New Flight,D48976409,TRUE,MIA,CDG,TRUE,TRUE,2,5,FALSE
2021-02-08,1997-12-02,3135719663,Jessica,Williams,Cancel Flight,K39476585,TRUE,CDG,JFK,FALSE,TRUE,4,9,FALSE
2022-11-12,2020-04-08,1525568044,Chad,Keller,Flight Deal,X31269699,TRUE,CDG,DEN,FALSE,TRUE,1,8,TRUE
2022-06-16,2020-04-08,1525568044,Chad,Keller,Cancel Flight,T75752335,FALSE,DFW,LHR,TRUE,FALSE,1,8,TRUE
2023-11-19,2020-04-08,1525568044,Chad,Keller,Flight Deal,A37191216,FALSE,DFW,ORD,TRUE,FALSE,3,8,FALSE
2023-07-22,2020-04-08,1525568044,Chad,Keller,Cancel Flight,D66433485,TRUE,DXB,DFW,TRUE,FALSE,3,6,TRUE
2023-12-04,2020-04-08,1525568044,Chad,Keller,New Flight,J20009035,FALSE,JFK,SEA,FALSE,TRUE,4,9,FALSE
2021-12-07,2012-11-11,9694784205,Mary,Campbell,Flight Status,V68056948,TRUE,ORD,SFO,TRUE,TRUE,3,7,FALSE
2022-06-13,2012-11-11,9694784205,Mary,Campbell,Cancel Flight,V15568043,FALSE,LAX,MIA,FALSE,FALSE,1,8,TRUE
2021-03-17,2012-11-11,9694784205,Mary,Campbell,Flight Status,W10600203,FALSE,JFK,MIA,TRUE,FALSE,1,3,TRUE
2022-10-26,2012-11-11,9694784205,Mary,Campbell,Cancel Flight,G24778565,FALSE,SEA,DFW,TRUE,FALSE,1,6,TRUE
2021-01-02,2009-06-25,5352111805,Frederick,Calderon,New Flight,B25019156,FALSE,JFK,DEN,FALSE,TRUE,1,4,FALSE
2023-07-07,2009-06-25,5352111805,Frederick,Calderon,Flight Deal,Z07146192,FALSE,LHR,LHR,FALSE,TRUE,2,7,FALSE
2023-01-14,2009-06-25,5352111805,Frederick,Calderon,New Flight,Y04217792,TRUE,MIA,HND,TRUE,FALSE,4,8,TRUE
2024-05-06,2009-06-25,5352111805,Frederick,Calderon,New Flight,L17470855,FALSE,JFK,CDG,FALSE,FALSE,1,6,FALSE
2022-10-09,2009-06-25,5352111805,Frederick,Calderon,Flight Status,X15271071,TRUE,MIA,SFO,FALSE,FALSE,3,8,TRUE
2023-03-11,2009-06-25,5352111805,Frederick,Calderon,New Flight,P56889674,FALSE,HND,ATL,FALSE,FALSE,4,7,TRUE
2021-07-02,2009-06-25,5352111805,Frederick,Calderon,Flight Deal,I69868003,TRUE,BOS,MIA,TRUE,FALSE,4,10,TRUE
2021-11-11,2009-06-25,5352111805,Frederick,Calderon,Flight Status,X62585042,TRUE,ORD,DEN,TRUE,TRUE,4,10,FALSE
2023-08-28,2009-06-25,5352111805,Frederick,Calderon,Cancel Flight,R31889888,FALSE,SEA,JFK,TRUE,FALSE,4,9,FALSE
2022-02-25,2009-06-25,5352111805,Frederick,Calderon,Flight Status,W27194196,FALSE,JFK,LAX,TRUE,TRUE,2,10,TRUE
2023-12-02,1998-03-17,9179553386,Carmen,Carter,Flight Deal,U20157478,TRUE,ORD,SEA,TRUE,TRUE,4,9,FALSE
2022-05-07,1998-03-17,9179553386,Carmen,Carter,Flight Status,K04167711,FALSE,JFK,DFW,TRUE,FALSE,1,7,TRUE
2023-09-09,1998-03-17,9179553386,Carmen,Carter,New Flight,Z88949234,FALSE,LHR,MIA,FALSE,FALSE,1,5,TRUE
2023-03-05,1998-03-17,9179553386,Carmen,Carter,Cancel Flight,X65302661,FALSE,DFW,ORD,FALSE,FALSE,4,5,TRUE
2022-07-31,1998-03-17,9179553386,Carmen,Carter,New Flight,M04377990,TRUE,ORD,ATL,FALSE,FALSE,2,4,TRUE
2023-05-16,2021-08-25,2197672045,Cody,Chen,Cancel Flight,E95696317,TRUE,CDG,BOS,TRUE,TRUE,2,5,TRUE
2021-06-18,2021-08-25,2197672045,Cody,Chen,Flight Deal,C23755164,FALSE,MIA,ATL,TRUE,TRUE,2,9,FALSE
2024-10-06,2021-08-25,2197672045,Cody,Chen,New Flight,H09084758,FALSE,MIA,SEA,FALSE,TRUE,4,10,TRUE
2021-03-13,1989-09-08,367459745,Jessica,Colon,New Flight,O57911850,FALSE,SEA,MIA,TRUE,FALSE,2,3,TRUE
2023-05-09,1989-09-08,367459745,Jessica,Colon,Cancel Flight,P48489560,TRUE,MIA,ATL,FALSE,FALSE,2,9,TRUE
2023-05-27,1989-09-08,367459745,Jessica,Colon,New Flight,X11732945,TRUE,ATL,BOS,FALSE,TRUE,1,6,FALSE
2023-08-30,1989-09-08,367459745,Jessica,Colon,New Flight,V77367751,FALSE,MIA,BOS,TRUE,FALSE,1,10,TRUE
2024-03-21,1989-09-08,367459745,Jessica,Colon,Flight Status,H34885094,TRUE,SEA,BOS,FALSE,FALSE,2,3,FALSE
2024-05-31,1989-09-08,367459745,Jessica,Colon,Flight Status,C93387142,TRUE,SEA,MIA,TRUE,TRUE,1,7,TRUE
2021-05-18,1989-09-08,367459745,Jessica,Colon,Flight Deal,J55758274,FALSE,MIA,SYD,FALSE,FALSE,4,9,TRUE
2022-09-15,1989-09-08,367459745,Jessica,Colon,Flight Deal,Y05882669,FALSE,LAX,MIA,TRUE,TRUE,2,5,FALSE
2022-03-03,1989-09-08,367459745,Jessica,Colon,Flight Deal,Z18845189,TRUE,MIA,DFW,FALSE,TRUE,2,9,TRUE
2021-11-21,1989-09-08,367459745,Jessica,Colon,Flight Status,R24360966,FALSE,ATL,JFK,FALSE,TRUE,3,8,FALSE
2021-05-18,2006-01-28,8213060713,James,Williamson,New Flight,W09390613,FALSE,ATL,LAX,FALSE,TRUE,1,5,FALSE
2024-04-20,2006-01-28,8213060713,James,Williamson,New Flight,W16109016,TRUE,DEN,JFK,TRUE,FALSE,3,6,FALSE
2021-02-16,2006-01-28,8213060713,James,Williamson,New Flight,E12918966,FALSE,DFW,DEN,TRUE,FALSE,1,9,TRUE
2022-01-23,2006-01-28,8213060713,James,Williamson,Cancel Flight,W43642112,FALSE,HND,SYD,TRUE,FALSE,3,6,FALSE
2022-02-06,2006-01-28,8213060713,James,Williamson,Cancel Flight,X47454907,FALSE,LAX,JFK,FALSE,TRUE,4,8,FALSE
2023-06-13,2009-01-15,141066351,Jeff,Stephens,Flight Status,F90780778,TRUE,DFW,MIA,TRUE,FALSE,3,7,TRUE
2021-04-01,2009-01-15,141066351,Jeff,Stephens,Flight Deal,W14452681,FALSE,MIA,BOS,FALSE,FALSE,3,8,FALSE
2023-06-30,2009-01-15,141066351,Jeff,Stephens,Flight Status,C99042720,TRUE,LHR,SFO,FALSE,FALSE,4,7,TRUE
2021-01-22,2009-01-15,141066351,Jeff,Stephens,Flight Deal,T73701942,TRUE,BOS,SFO,FALSE,FALSE,3,4,FALSE
2022-08-26,2009-01-15,141066351,Jeff,Stephens,Flight Status,P03762025,FALSE,LAX,SFO,FALSE,FALSE,1,10,TRUE
2022-03-06,2010-11-10,5075217105,Jennifer,Johnson,Flight Status,S23509372,TRUE,LAX,DEN,TRUE,TRUE,4,9,FALSE
2023-03-08,2010-11-10,5075217105,Jennifer,Johnson,New Flight,S65470242,TRUE,SYD,BOS,TRUE,FALSE,1,7,TRUE
2022-03-25,2010-11-10,5075217105,Jennifer,Johnson,Flight Deal,K06326825,TRUE,HND,ATL,FALSE,TRUE,1,2,TRUE
2022-02-04,2010-11-10,5075217105,Jennifer,Johnson,Cancel Flight,L18220790,FALSE,SEA,ATL,TRUE,FALSE,1,9,FALSE
2022-03-21,2010-11-10,5075217105,Jennifer,Johnson,Flight Deal,J00568018,FALSE,BOS,JFK,TRUE,FALSE,1,4,TRUE
2024-08-15,1994-03-08,3748568878,Manuel,Hernandez,Flight Status,U60938810,TRUE,SYD,BOS,FALSE,FALSE,3,6,FALSE
2022-09-12,1994-03-08,3748568878,Manuel,Hernandez,Flight Status,E42911481,TRUE,DXB,SFO,FALSE,TRUE,2,10,TRUE
2023-05-23,1994-03-08,3748568878,Manuel,Hernandez,Cancel Flight,Z27924056,FALSE,JFK,SEA,TRUE,FALSE,1,6,TRUE
2023-07-05,1994-03-08,3748568878,Manuel,Hernandez,Flight Deal,N16669867,TRUE,JFK,SEA,FALSE,FALSE,4,5,FALSE
2024-07-17,1990-07-01,2724020682,Karen,Lam,Flight Deal,T89508306,TRUE,SIN,JFK,TRUE,TRUE,2,9,TRUE
2023-04-11,1990-07-01,2724020682,Karen,Lam,Flight Status,Z84456795,FALSE,HND,HND,FALSE,FALSE,2,5,TRUE
2022-04-01,1990-07-01,2724020682,Karen,Lam,Flight Status,Z22564399,TRUE,ATL,SEA,TRUE,FALSE,1,6,FALSE
2022-10-18,1990-07-01,2724020682,Karen,Lam,Cancel Flight,D26353278,TRUE,LAX,BOS,FALSE,TRUE,4,9,TRUE
